"","country_code"
"0","ALB"
"1","DZA"
"2","AGO"
"3","ARG"
"4","AUS"
"5","AUT"
"6","AZE"
"7","BHR"
"8","BGD"
"9","BRB"
"10","BLR"
"11","BLZ"
"12","BOL"
"13","BRA"
"14","BRN"
"15","BGR"
"16","CMR"
"17","CAN"
"18","TCD"
"19","CHL"
"20","CHN"
"21","COL"
"22","HRV"
"23","CUB"
"24","CZE"
"25","CIV"
"26","COD"
"27","DNK"
"28","TLS"
"29","ECU"
"30","EGY"
"31","GNQ"
"32","FRA"
"33","GAB"
"34","GEO"
"35","DEU"
"36","GHA"
"37","GRC"
"38","GTM"
"39","GUY"
"40","HUN"
"41","IND"
"42","IDN"
"43","IRN"
"44","IRQ"
"45","ITA"
"46","JPN"
"47","JOR"
"48","KAZ"
"49","KWT"
"50","KGZ"
"51","LBY"
"52","LTU"
"53","MYS"
"54","MEX"
"55","MNG"
"56","MAR"
"57","MMR"
"58","NLD"
"59","NZL"
"60","NER"
"61","NGA"
"62","NOR"
"63","OMN"
"64","PAK"
"65","PNG"
"66","PER"
"67","PHL"
"68","POL"
"69","QAT"
"70","COG"
"71","ROU"
"72","RUS"
"73","SAU"
"74","SRB"
"75","SVK"
"76","ZAF"
"77","SSD"
"78","ESP"
"79","SDN"
"80","SUR"
"81","SYR"
"82","TWN"
"83","TJK"
"84","THA"
"85","TTO"
"86","TUN"
"87","TUR"
"88","TKM"
"89","UKR"
"90","ARE"
"91","GBR"
"92","USA"
"93","UZB"
"94","VEN"
"95","VNM"
"96","YEM"
